cpu_type	rank	name	nb_id	nb_url	codename	series	l2_cache_mb	l3_cache_mb	tdp_watt	tdp_turbo_watt	base_mhz	boost_mhz	cores	threads	process_nm	architecture	is_64bit	graphics_card	perf_rating	cinebench_r10_32bit_single	cinebench_r10_32bit_multi	cinebench_r15_cpu_single_64bit	cinebench_r15_cpu_multi_64bit	cinebench_r20_single	cinebench_r20	cinebench_r23_single_core	cinebench_r23_multi_core	cinebench_2024_cpu_single_core	cinebench_2024_cpu_multi_core	geekbench_4_4_64_bit_single_core_score	geekbench_4_4_64_bit_multi_core_score	geekbench_5_5_single_core	geekbench_5_5_multi_core	geekbench_6_7_single_core	geekbench_6_7_multi_core	3dmark06_cpu	x264_pass_1	x264_pass_2	x265	truecrypt_aes	truecrypt_twofish	truecrypt_serpent	blender	blender_v3_3_classroom_cpu	7_zip_single	7_zip	superpi_1m	superpi_32m	wprime_32	wprime_1024	webxprt_3	webxprt_4_overall	crossmark_overall	cinebench_2026_cpu_single_thread	cinebench_2026_cpu_multi	octane_v2_total_score	jetstream_2	jetstream_2_2_2_total	speedometer_2_0	sunspider_1_0_total_score	geekbench_2	geekbench_3_32_bit_single_core_score	geekbench_3_32_bit_multi_core_score	passmark_performancetest_mobile_v1_cpu_tests
desktop	1	AMD Ryzen Threadripper PRO 7995WX	796971	https://www.notebookcheck.net/AMD-Ryzen-Threadripper-PRO-7995WX-Processor-Benchmarks-and-Specs.796971.0.html	Storm Peak	Threadripper	96.0	384.0	350		2500	5100	96	192	5	x86	True		69.25	7951	72072	286	15842	695	41011	1815	107681	102	5372	4762	19324	1918	55811	2702	25365	21375	354.5	267.5	56.9	38.4	5.3	3.3	29	38	7108	174189	6.98	349.43	7.93	17.19	349	263	1976											
desktop	2	AMD Ryzen Threadripper PRO 3995WX	562113	https://www.notebookcheck.net/AMD-Ryzen-Threadripper-PRO-3995WX-Processor-Benchmarks-and-Specs.562113.0.html	Matisse	Threadripper	32.0	256.0	280		2700	4200	64	128	7	x86	True		38.414	5596	52743	195	9706	488	23571	1249	61102			5567	80545	1720	14881			16656	264	192.5	46.6	26	4.8	2.9	47.8		5021	140172	9.81	730	6.11	25.41	229													
desktop	3	AMD Ryzen 9 9950X3D	976049	https://www.notebookcheck.net/AMD-Ryzen-9-9950X3D-Review-Ryzen-7-9800X3D-levels-of-gaming-performance-and-power-efficiency-for-50-markup-over-the-Ryzen-9-9950X.976049.0.html	Granite Ridge	Granite Ridge (Zen 5, AM5)	16.0	128.0	170		4300	5700	16	32	4	x86	True	Radeon 610M	83.35			350	6536	886	16347	2259	42018	138.7	2387.5			2548	25682	3430.5	22627.5				48.5				75	113	7783	163125					387	342	2380											
desktop	4	AMD Ryzen 9 9950X	846059	https://www.notebookcheck.net/AMD-Ryzen-9-9950X-Processor-Benchmarks-and-Specs.846059.0.html	Granite Ridge	Granite Ridge (Zen 5, AM5)	16.0	64.0	170		4300	5700	16	32	4	x86	True	Radeon 610M	85.85	9402	71611	344	6335	871	15788	2202	40924	136	2254	10016	100326	2559	23982	3408	21383	21838	392	271	45.1	32.4	5.6	3.4	77	118	7852	160423	7.31		2.08	29.32	409	357	2451											
desktop	5	Intel Core Ultra 7 270K Plus			Arrow Lake-S Refresh	Arrow Lake	40.0	36.0	125	250			24	24	0	x86	True	Graphics 4-Core iGPU (Arrow Lake)																																														
desktop	6	Intel Core Ultra 9 285K	901799	https://www.notebookcheck.net/Intel-Core-Ultra-9-285K-Arrow-Lake-S-Review-589-CPU-sacrifices-gaming-crown-to-match-AMD-Zen-5-Ryzen-9000-in-power-efficiency.901799.0.html	Arrow Lake-S	Arrow Lake	40.0	36.0	125	250	3200	5700	24	24	3	x86	True	Graphics 4-Core iGPU (Arrow Lake)	88.65	12521.5	102886	357.5	6451	908.5	16572	2357.5	42404	144	2413	9857	93777.5	2387.5	25963	3260	21688	21932	424	297.75	45.35	16.65	4.95	2.4	79	123.5	7366	129706	6.79		2.16	45.7	387	350	2531											
desktop	7	AMD Ryzen Threadripper PRO 3975WX	588997	https://www.notebookcheck.net/AMD-Ryzen-Threadripper-PRO-3975WX-Processor-Benchmarks-and-Specs.588997.0.html	Matisse	Threadripper	16.0	128.0	280		3500	4200	32	64	7	x86	True		33.214	5884	53924	201	7053	500	16464	1286	42744			5764	81029	1285	28798			16923	268	193	43	27	4.7	2.6	69.4		5140	141386	9.55	714	3.63	24.28	198													
desktop	8	Intel Core i9-14900K	790504	https://www.notebookcheck.net/Intel-Core-i9-14900K-Processor-Benchmarks-and-Specs.790504.0.html	Raptor Lake	Raptor Lake-R	32.0	36.0	125		3200	6000	24	32	10	x86	True	UHD Graphics 770	90.55	12643	94801	324.5	6103	900	15466	2262.5	39399.5	137	2146.5	9872.5	88108.5	2369	25199	3243	21397	22657.5	345.5	181.2	41.05	26.7	5.8	2.8	85	144.5	7932	145207	5.48	280.25	2.07	74.47	386	334	2584	560	9037									
laptop	9	Apple M5 Max	1244918	https://www.notebookcheck.net/Apple-M5-Max-Processor-Benchmarks-and-Specs.1244918.0.html		M5	32.0	24.0			3048	4608	18	18	3	ARM	True	M5 Max 40-Core GPU	95.55									200.5	2255					4295	29244.5									149							584	397	2728	737.5	8763.5	151822	480.5	660.6	932					
laptop	10	Apple M5 Pro 18-Core	1242671	https://www.notebookcheck.net/Apple-M5-Pro-18-Core-Processor-Benchmarks-and-Specs.1242671.0.html		M5	32.0	24.0			3048	4608	18	18	3	ARM	True	M5 Pro 20-Core GPU	95.45									201	2347					4295	28436									134.5							596	402	2725	738	9481	153175	481	672.9	926					
laptop	11	Apple M4 Max 16-Core	920458	https://www.notebookcheck.net/Apple-M4-Max-16-cores-Processor-Benchmarks-and-Specs.920458.0.html		M4	4.0		90		2592	4512	16	16	3	ARM	True	M4 Max 40-Core GPU	7950.0			307	3647	563	6995	2209	27595	178	2042					3880	25760									167							543	353	2255			116813	375.7		820					
laptop	12	AMD Ryzen 9 9955HX3D	941514	https://www.notebookcheck.net/AMD-Ryzen-9-9955HX3D-Processor-Benchmarks-and-Specs.941514.0.html	Fire Range-HX (Zen 5)	Dragon Range	16.0	128.0	55		2500	5400	16	32	4	x86	True	Radeon 610M	79.35	9269	79410	327	6042.5	849	15161.5	2172	39065	129.7	2120	9492	97490	2391	23568.5	3184.5	20231		363.6	257.1	42.5	29.05	4.95	3.3	80	123	7225.5	146944	7.7	373.3	4.95	172.7	354	326.5	2264			132328	477.1	468.2	654					
laptop	13	Apple M5 Pro 15-Core	1244350	https://www.notebookcheck.net/Apple-M5-Pro-15-Core-Processor-Benchmarks-and-Specs.1244350.0.html		M5	32.0	24.0			3048	4608	15	15	3	ARM	True	M5 Pro 16-Core GPU	93.6															4302	25892																													
laptop	14	Apple M4 Max 14-Core	920365	https://www.notebookcheck.net/Apple-M4-Max-14-cores-Processor-Benchmarks-and-Specs.920365.0.html		M4	4.0		80	80	2592	4512	14	14	3	ARM	True	M4 Max 32-Core GPU	85.9															4004	23384																													
laptop	15	Qualcomm Snapdragon X2 Elite Extreme X2E-96-100	1127282	https://www.notebookcheck.net/Qualcomm-Snapdragon-X2-Elite-Extreme-X2E-96-100-Processor-Benchmarks-and-Specs.1127282.0.html	Oryon v3	Snapdragon X2	44.0	9.0	82		3600	5000	18	18	3	ARM	True	X2-90	79.814									162	1988					4061.5	23166																			667	7410			536.98						
desktop	16	Intel Core Ultra 7 265KF	1134080	https://www.notebookcheck.net/Intel-Core-Ultra-7-265KF-Processor-Benchmarks-and-Specs.1134080.0.html	Arrow Lake-S	Arrow Lake	36.0	30.0	125	250	3300	5500	20	20	3	x86	True		75.5															3235	22483																													
desktop	17	Intel Core Ultra 7 265K	1134077	https://www.notebookcheck.net/Intel-Core-Ultra-7-265K-Processor-Benchmarks-and-Specs.1134077.0.html	Arrow Lake-S	Arrow Lake	36.0	30.0	125	250	3300	5500	20	20	3	x86	True	Graphics 4-Core iGPU (Arrow Lake)	70.6							2020	35850	135	1480					3085	20581																													
